SELLER_GEOLOCATION_KEY,SELLER_ZIP_CODE_PREFIX,CITY,STATE,LATITUDE,LONGITUDE
5101,13481,Limeira,São Paulo,-22.600004259281896,-47.40712858731964
5102,13482,Limeira,São Paulo,-22.579985822110903,-47.42866004567683
5103,13483,Limeira,São Paulo,-22.560755022881636,-47.44649444065285
5104,13484,Limeira,São Paulo,-22.555991404059693,-47.42206037839757
5106,13486,Limeira,São Paulo,-22.565964761592497,-47.38380603235934
5107,13487,Limeira,São Paulo,-22.583825650676165,-47.37638610949688
5108,13490,Cordeiropolis,São Paulo,-22.481763564480133,-47.459958340316014
5110,13500,Rio Claro,São Paulo,-22.40895214371238,-47.563680414821135
5111,13501,Rio Claro,São Paulo,-22.425778361057304,-47.560436700322384
5113,13503,Rio Claro,São Paulo,-22.41292693577841,-47.57929587700935
5114,13504,Rio Claro,São Paulo,-22.39213658183408,-47.57768122006809
5115,13505,Rio Claro,São Paulo,-22.37849011300643,-47.56519468442957
5116,13506,Rio Claro,São Paulo,-22.391765540585517,-47.548511125728616
5122,13520,Sao Pedro,São Paulo,-22.55124525869923,-47.90659642198052
5124,13530,Itirapina,São Paulo,-22.25200259601456,-47.81543112451409
5128,13560,Sao Carlos,São Paulo,-22.015004364801605,-47.89018108556098
5129,13561,Sao Carlos,São Paulo,-22.01445177696217,-47.90841744167092
5134,13566,Sao Carlos,São Paulo,-21.999484484661423,-47.88750366919187
5136,13568,Sao Carlos,São Paulo,-22.00522087024252,-47.85621631942498
5138,13570,Sao Carlos,São Paulo,-22.030322642781435,-47.87949202618185
5141,13573,Sao Carlos,São Paulo,-22.060051378354107,-47.90246169158984
5143,13575,Sao Carlos,São Paulo,-22.03350616336224,-47.90892483428426
5148,13600,Araras,São Paulo,-22.355359127465096,-47.384915976643846
5149,13601,Araras,São Paulo,-22.37006124500208,-47.38887462828356
5151,13603,Araras,São Paulo,-22.349908077989376,-47.40075340499851
5152,13604,Araras,São Paulo,-22.33625019177183,-47.38116671311143
5161,13613,Leme,São Paulo,-22.18164759931344,-47.404266712265496
5169,13632,Pirassununga,São Paulo,-22.01327199468417,-47.41515436456504
5179,13660,Porto Ferreira,São Paulo,-21.86603242598352,-47.4781017581213
5181,13690,Descalvado,São Paulo,-21.908634153727803,-47.6195840295051
5185,13710,Tambau,São Paulo,-21.703495030535557,-47.27635386030104
5187,13720,Sao Jose Do Rio Pardo,São Paulo,-21.582987429934317,-46.94775856933444
5188,13730,Mococa,São Paulo,-21.466660105003783,-47.00530729612842
5203,13790,Sao Sebastiao Da Grama,São Paulo,-21.71087095489333,-46.82083536657486
5204,13800,Mogi Mirim,São Paulo,-22.43724449758527,-46.96545705034646
5210,13806,Mogi Mirim,São Paulo,-22.420002291515974,-46.96800110638154
5214,13820,Jaguariuna,São Paulo,-22.69294884489288,-46.98287754029338
5216,13825,Holambra,São Paulo,-22.63304600943613,-47.05260391223774
5217,13830,Santo Antonio De Posse,São Paulo,-22.60561843199777,-46.92044723813351
5218,13835,Conchal,São Paulo,-22.33839856933212,-47.1683209783616
5219,13840,Mogi-Guacu,São Paulo,-22.366040649505827,-46.93816713358193
5222,13843,Mogi Guacu,São Paulo,-22.383407730307617,-46.93598735087051
5223,13844,Mogi-Guacu,São Paulo,-22.38343651404282,-46.947926542619655
5224,13845,Mogi Guacu,São Paulo,-22.356314123198462,-46.9512633640901
5227,13848,Mogi Guacu,São Paulo,-22.33978411439518,-46.924309679539405
5232,13870,Sao Joao Da Boa Vista,São Paulo,-21.973167687922786,-46.79459474749641
5241,13880,Vargem Grande Do Sul,São Paulo,-21.834918641034367,-46.89918572591992
5244,13900,Amparo,São Paulo,-22.703127966651635,-46.76632136777288
5245,13901,Amparo,São Paulo,-22.700250708178448,-46.77331904709085
5249,13905,Amparo,São Paulo,-22.710900736908854,-46.80139536275989
5250,13908,Amparo,São Paulo,-22.721605279768426,-46.844150475904215
5253,13911,Jaguariuna,São Paulo,-22.70112532819454,-46.98829332697691
5254,13912,Jaguariuna,São Paulo,-22.687275506720223,-46.983325913689576
5262,13920,Pedreira,São Paulo,-22.74032548616481,-46.896753691339335
5263,13930,Serra Negra,São Paulo,-22.614621137795265,-46.70959342861239
5266,13960,Socorro,São Paulo,-22.596373040143572,-46.50720671996104
5280,14010,Ribeirao Preto,São Paulo,-21.17953956854023,-47.80859764825491
5281,14015,Ribeirao Preto,São Paulo,-21.181218575214736,-47.80747857476067
5282,14020,Ribeirao Preto,São Paulo,-21.20106469222488,-47.80236637602176
5283,14021,Ribeirao Preto,São Paulo,-21.213809752116315,-47.79487457172355
5286,14025,Ribeirao Preto,São Paulo,-21.193638491208656,-47.81519785770766
5287,14026,Ribeirao Preto,São Paulo,-21.214889830150028,-47.82160048649503
5288,14027,Ribeirao Preto,São Paulo,-21.223533543713224,-47.83104529239533
5294,14050,Ribeirao Preto,São Paulo,-21.1728614527507,-47.82369973956137
5296,14055,Ribeirao Preto,São Paulo,-21.15700584776457,-47.824920843296205
5298,14057,Ribeirao Preto,São Paulo,-21.132829205340816,-47.84643282788191
5304,14070,Ribeirao Preto,São Paulo,-21.112713275054016,-47.79081007447943
5308,14075,Ribeirao Preto,São Paulo,-21.140244843952534,-47.79106291848945
5309,14076,Ribeirao Preto,São Paulo,-21.156700327270222,-47.78619523041458
5311,14078,Ribeirao Preto,São Paulo,-21.14049592228316,-47.76651818751376
5312,14079,Ribeirao Preto,São Paulo,-21.13412286466589,-47.745779042280645
5313,14080,Ribeirao Preto,São Paulo,-21.15463991518984,-47.80275271383767
5314,14085,Ribeirao Preto,São Paulo,-21.165898166464306,-47.79796917565808
5315,14090,Ribeirao Preto,São Paulo,-21.179893192109983,-47.78842912306862
5316,14091,Ribeirao Preto,São Paulo,-21.19012799690352,-47.78790131270502
5317,14092,Ribeirao Preto,São Paulo,-21.17770984048536,-47.76782007545163
5318,14093,Ribeirao Preto,São Paulo,-21.177891257048422,-47.74337493709183
5320,14095,Ribeirao Preto,São Paulo,-21.191022995550163,-47.76791416876063
5321,14096,Ribeirao Preto,São Paulo,-21.20131082333704,-47.7779524735565
5324,14110,Bonfim Paulista,São Paulo,-21.254547608936228,-47.8152907655656
5327,14140,Cravinhos,São Paulo,-21.339319962321323,-47.737352556997614
5329,14150,Serrana,São Paulo,-21.208159120071997,-47.60162092584304
5354,14270,Santa Rosa De Viterbo,São Paulo,-21.48348869998301,-47.36865063485143
5355,14300,Batatais,São Paulo,-20.892832077005902,-47.585039751459725
5358,14312,Batatais,São Paulo,-20.916468353698388,-47.574216767527176
5359,14315,Batatais,São Paulo,-20.897753508287284,-47.59026582347454
5363,14400,Franca,São Paulo,-20.538924680582515,-47.40138054689607
5364,14401,Franca,São Paulo,-20.528619284338824,-47.38740999652929
5365,14402,Franca,São Paulo,-20.523653408304654,-47.36427220130872
5366,14403,Franca,São Paulo,-20.55362362743644,-47.38735911880556
5368,14405,Franca,São Paulo,-20.528759136177374,-47.411109783856105
5369,14406,Franca,São Paulo,-20.53661375955687,-47.43358387554184
5370,14407,Franca,São Paulo,-20.49625076548565,-47.41843378590997
5382,14470,Pedregulho,São Paulo,-20.248446312480414,-47.47674170415544
5386,14530,Miguelopolis,São Paulo,-20.18273218990501,-48.02780172057328
5390,14580,Guara,São Paulo,-20.43217689916522,-47.82416381617847
5392,14600,Sao Joaquim Da Barra,São Paulo,-20.585751390105457,-47.863693188164746
5393,14610,Ipua,São Paulo,-20.445531132262545,-48.01402332006467
5394,14620,Orlandia,São Paulo,-20.716823599737285,-47.87953500680893
5407,14709,Bebedouro,São Paulo,-20.924599508487425,-48.49059077246631
5421,14750,Pitangueiras,São Paulo,-21.00987455542997,-48.219255640094126
5426,14780,Barretos,São Paulo,-20.556279636011343,-48.57186491314685
5427,14781,Barretos,São Paulo,-20.53893016309683,-48.55891073056784
5429,14784,Barretos,São Paulo,-20.57822759538431,-48.557940763421726
5434,14790,Guaira,São Paulo,-20.3249901235719,-48.32013128878084
5437,14801,Araraquara,São Paulo,-21.790782716262665,-48.18550246518844
5438,14802,Araraquara,São Paulo,-21.772225708483823,-48.18022222658397
5440,14804,Araraquara,São Paulo,-21.76715857542242,-48.19822719379917
5442,14806,Araraquara,São Paulo,-21.751257937325867,-48.15881579410835
5444,14808,Araraquara,São Paulo,-21.82152967191702,-48.14485939614036
5454,14840,Guariba,São Paulo,-21.36350170979939,-48.22960077888057
5455,14850,Pradopolis,São Paulo,-21.35993680296325,-48.07391298482993
5456,14860,Barrinha,São Paulo,-21.190885638654144,-48.15620878829506
5457,14870,Jaboticabal,São Paulo,-21.25717364466399,-48.32096387334476
5461,14882,Jaboticabal,São Paulo,-21.24564991547182,-48.31790069625641
5471,14910,Tabatinga,São Paulo,-21.73706314242179,-48.687600901117015
5476,14940,Ibitinga,São Paulo,-21.75732063771276,-48.82974353343716
5478,14960,Novo Horizonte,São Paulo,-21.4696009553403,-49.222216847438304
5482,15013,Sao Jose Do Rio Preto,São Paulo,-20.82895270664262,-49.3305184377589
5483,15014,Sao Jose Do Rio Preto,São Paulo,-20.818959233813956,-49.37734636225724
5484,15015,Sao Jose Do Rio Preto,São Paulo,-20.819120747840632,-49.37902791741088
5486,15025,Sao Jose Do Rio Preto,São Paulo,-20.80670693101839,-49.389164535249215
5487,15030,Sao Jose Do Rio Preto,São Paulo,-20.79658993282142,-49.38767444512269
5491,15041,Sao Jose Do Rio Preto,São Paulo,-20.790373567376047,-49.41826248454062
5496,15046,Sao Jose Do Rio Preto,São Paulo,-20.77686359976854,-49.36411121795177
5499,15050,Sao Jose Do Rio Preto,São Paulo,-20.789580398110378,-49.37249936333853
5500,15051,Sao Jose Do Rio Preto,São Paulo,-20.790876797535187,-49.37011631689223
5501,15052,Sao Jose Do Rio Preto,São Paulo,-20.762171380404617,-49.364295130044944
5503,15054,Sao Jose Do Rio Preto,São Paulo,-20.78666297669921,-49.35932711127303
5504,15055,Sao Jose Do Rio Preto,São Paulo,-20.794068968967025,-49.36508132014008
5505,15056,Sao Jose Do Rio Preto,São Paulo,-20.77416528575765,-49.34091811517656
5508,15061,Sao Jose Do Rio Preto,São Paulo,-20.81036071079141,-49.34854545859981
5509,15062,Sao Jose Do Rio Preto,São Paulo,-20.83040639322453,-49.33893871886974
